gene	A	B	C	D	E
Skcos10667	0	0	0	1	0
Skcos10668	9	14	17	37	5
Skcos10669	132	71	70	110	48
Skcos1067	1	0	0	1	0
Skcos10670	2	0	0	0	0
Skcos10671	0	0	0	0	0
Skcos10672	209	96	136	442	136
Skcos10673	24	10	10	39	11
Skcos10674	73	15	22	68	14
Skcos10675	1	0	0	1	1
Skcos10676	16	2	4	43	1
Skcos10677	83	12	29	69	47
Skcos10678	21	5	1	25	4
Skcos10679	22	4	1	27	4
Skcos1068	4	2	2	3	0
Skcos10680	32	33	52	59	52
Skcos10681	26	14	9	24	14
Skcos10682	5	2	2	11	1
Skcos10683	35	9	11	48	14
Skcos10684	71	36	47	81	65
Skcos10685	3	0	0	2	0
Skcos10686	4	0	0	0	0
Skcos10687	2	2	0	4	0
Skcos10688	7	2	0	16	3
Skcos10689	6	1	4	25	2
Skcos1069	12	0	0	3	2
Skcos10690	22	9	2	16	9
Skcos10691	44	7	15	63	11
Skcos10692	3	0	4	2	3
Skcos10693	13	1	3	9	0
Skcos10694	4	2	3	0	4
Skcos10695	44	10	16	40	43
Skcos10696	26	1	1	5	7
Skcos10697	1	0	0	3	0
Skcos10698	280	171	152	291	241
Skcos10699	144	9	16	87	13
Skcos107	56	1	10	35	4
Skcos1070	19	6	19	46	29
Skcos10700	2	0	0	3	0
Skcos10701	4	0	0	1	1
Skcos10702	92	4	2	57	2
Skcos10703	11	3	2	19	4
Skcos10704	17	2	0	12	2
Skcos10705	2	0	0	8	0
Skcos10706	2	0	0	2	0
Skcos10707	6	1	0	2	0
Skcos10708	1	2	5	3	2
Skcos10709	16	6	5	27	5
Skcos1071	13	2	1	17	3
Skcos10710	4	1	3	7	0
Skcos10711	5	4	4	5	0
Skcos10712	3	0	0	1	0
Skcos10713	60	10	16	69	19
Skcos10714	4	1	0	5	0
Skcos10715	0	0	0	1	0
Skcos10716	30	17	27	21	6
Skcos10717	0	1	1	5	0
Skcos10718	0	0	0	1	0
Skcos10719	3	0	0	4	5
Skcos1072	24	2	2	23	6
