gene	S1	S2	S3	S4	S5	A	B	C	D	E
Skcos10396	33	449	5	3	2	10	2	2	17	3
Skcos10397	463	1176	46	8	4	21	5	6	23	6
Skcos10398	72	394	12	10	1	9	2	2	1	0
Skcos10399	121	693	13	5	7	17	1	4	18	2
Skcos104	17	33	0	0	0	2	0	0	0	0
Skcos1040	33	329	2	0	1	9	0	3	10	0
Skcos10400	438	2331	173	184	56	104	18	13	149	9
Skcos10401	59	3645	20	57	17	13	4	3	29	2
Skcos10402	172	170	19	0	3	8	4	3	5	1
Skcos10403	106	304	46	7	4	3	2	3	4	4
Skcos10404	1	185	6	1	0	4	0	0	2	0
Skcos10405	33	477	23	18	2	39	4	0	11	2
Skcos10406	29703	1269	7135	17	409	1339	366	529	1568	774
Skcos10407	224	358	9	13	0	7	0	0	9	0
Skcos10408	504	984	100	29	10	35	16	6	68	16
Skcos10409	1553	4391	440	76	63	71	24	22	104	24
Skcos1041	170	2384	58	25	18	34	14	17	68	16
Skcos10410	6634	1120	795	46	99	175	145	143	222	205
Skcos10411	1338	123	81	69	22	25	3	3	19	4
Skcos10412	242	678	69	19	6	14	6	11	27	3
Skcos10413	63	215	6	8	3	4	1	0	7	0
Skcos10414	51	74	0	0	0	0	0	0	2	1
Skcos10415	0	0	0	0	0	0	0	0	0	0
Skcos10416	550	498	94	5	5	27	7	9	15	7
Skcos10417	365	1450	37	21	1	21	6	7	40	13
Skcos10418	2	1	0	0	0	0	0	0	0	0
Skcos10419	0	0	0	0	0	0	0	0	0	0
Skcos1042	8	188	4	2	1	2	1	0	1	0
Skcos10420	74	387	22	3	3	11	1	3	8	0
Skcos10421	2221	4900	533	74	68	115	52	84	183	95
Skcos10422	162	341	83	25	9	14	15	14	33	15
Skcos10423	39	239	7	1	4	5	0	3	6	0
Skcos10424	25	416	0	3	0	8	1	3	9	1
Skcos10425	80	187	8	4	0	5	0	0	2	1
Skcos10426	6008	4004	3290	674	411	440	375	426	1613	670
Skcos10427	33	95	5	0	4	1	0	0	0	2
Skcos10428	16	231	6	1	0	4	0	0	7	0
Skcos10429	238	803	31	20	5	23	3	8	15	5
Skcos1043	5	62	6	1	0	1	0	1	5	2
Skcos10430	377	3523	170	78	34	37	19	16	51	37
Skcos10431	5	115	2	3	1	1	1	0	1	3
Skcos10432	0	1	0	0	0	0	0	0	0	0
Skcos10433	4390	947	723	47	74	160	111	119	165	186
Skcos10434	253	786	35	8	12	28	10	7	34	8
Skcos10435	871	797	383	14	33	92	68	90	126	93
Skcos10436	18	380	3	0	2	1	0	0	2	0
Skcos10437	9	231	0	6	0	2	0	2	3	3
